Brand,Model,Year,Engine_Size,Fuel_Type
Toyota,Corolla,2014,4.1,Petrol
Kia,Optima,2017,4.6,Diesel
BMW,X5,2007,4.2,Petrol
Mercedes,E-Class,2011,1.8,Diesel
Audi,Q5,2016,2.5,Electric
BMW,3 Series,2011,2.6,Petrol
Volkswagen,Passat,2011,4.7,Petrol
BMW,5 Series,2009,3.0,Electric
Audi,A3,2022,3.8,Electric
Toyota,Corolla,2016,2.8,Hybrid
Toyota,Corolla,2014,2.8,Hybrid
Ford,Explorer,2013,5.0,Electric
Audi,A4,2010,2.0,Hybrid
BMW,5 Series,2001,2.3,Diesel
Toyota,Camry,2022,4.5,Electric
Chevrolet,Malibu,2005,2.2,Diesel
Honda,Accord,2001,4.0,Diesel
Hyundai,Elantra,2012,2.6,Hybrid
Honda,Accord,2003,3.8,Electric
Chevrolet,Equinox,2019,3.9,Hybrid
Mercedes,C-Class,2023,4.6,Electric
Volkswagen,Passat,2010,3.4,Diesel
BMW,3 Series,2018,2.3,Electric
Ford,Fiesta,2013,3.5,Hybrid
Honda,CR-V,2018,3.0,Hybrid
Mercedes,C-Class,2018,4.0,Petrol
Honda,Civic,2007,1.4,Petrol
Chevrolet,Equinox,2013,2.8,Petrol
BMW,3 Series,2014,2.1,Petrol
Mercedes,E-Class,2023,3.9,Hybrid
BMW,X5,2002,4.5,Diesel
Volkswagen,Golf,2020,3.8,Diesel
Toyota,Corolla,2013,4.0,Diesel
BMW,3 Series,2017,1.9,Petrol
Volkswagen,Tiguan,2008,4.5,Electric
Toyota,Corolla,2002,3.9,Diesel
Chevrolet,Malibu,2013,1.4,Diesel
Audi,A4,2013,3.9,Electric
Mercedes,C-Class,2020,3.7,Petrol
Chevrolet,Equinox,2017,3.1,Electric
Volkswagen,Tiguan,2008,3.5,Petrol
Volkswagen,Passat,2015,4.7,Diesel
Kia,Optima,2020,4.7,Petrol
Chevrolet,Impala,2009,1.8,Diesel
Chevrolet,Impala,2009,2.0,Petrol
Volkswagen,Golf,2001,4.1,Petrol
Audi,A3,2013,3.2,Electric
Toyota,RAV4,2020,4.3,Hybrid
Mercedes,E-Class,2004,3.0,Hybrid
Toyota,Camry,2019,4.7,Petrol
Toyota,RAV4,2004,1.3,Electric
Honda,Accord,2019,2.2,Diesel
Toyota,Camry,2002,1.5,Petrol
Kia,Optima,2010,3.9,Petrol
Toyota,RAV4,2021,2.1,Petrol
Ford,Focus,2001,3.2,Petrol
Hyundai,Sonata,2018,3.5,Electric
Ford,Explorer,2023,4.1,Electric
BMW,X5,2017,2.5,Electric
Mercedes,C-Class,2010,1.9,Petrol
Mercedes,E-Class,2014,3.8,Electric
Hyundai,Tucson,2002,4.9,Hybrid
Chevrolet,Impala,2013,4.8,Petrol
Honda,Civic,2016,4.0,Diesel
Hyundai,Tucson,2005,3.6,Petrol
BMW,3 Series,2015,2.9,Electric
Ford,Explorer,2001,2.2,Petrol
Audi,A4,2015,2.1,Diesel
Mercedes,GLA,2013,1.4,Electric
Kia,Optima,2000,3.7,Electric
Audi,A3,2002,4.0,Diesel
Audi,Q5,2015,2.9,Hybrid
Kia,Sportage,2007,1.2,Hybrid
Kia,Sportage,2000,2.8,Electric
Honda,CR-V,2014,4.0,Petrol
Audi,A3,2001,1.8,Petrol
Toyota,RAV4,2001,4.5,Diesel
Hyundai,Sonata,2009,1.0,Petrol
Mercedes,C-Class,2011,2.3,Electric
Honda,Civic,2013,3.5,Hybrid
BMW,X5,2004,3.7,Diesel
Honda,CR-V,2018,1.2,Petrol
Audi,Q5,2022,3.8,Diesel
Ford,Fiesta,2005,1.0,Hybrid
Chevrolet,Impala,2018,3.7,Petrol
Mercedes,C-Class,2007,3.9,Petrol
Volkswagen,Passat,2016,3.5,Diesel
Toyota,RAV4,2013,4.3,Electric
Kia,Optima,2010,3.8,Petrol
Volkswagen,Golf,2012,4.2,Electric
Chevrolet,Equinox,2009,2.6,Hybrid
BMW,X5,2012,4.3,Petrol
Honda,CR-V,2010,1.7,Petrol
Kia,Rio,2009,2.9,Diesel
Hyundai,Sonata,2011,1.0,Petrol
Hyundai,Sonata,2020,1.7,Petrol
Audi,Q5,2014,2.4,Petrol
Hyundai,Elantra,2020,3.7,Hybrid
Mercedes,C-Class,2003,2.6,Diesel
Mercedes,C-Class,2006,4.5,Electric
BMW,3 Series,2023,3.9,Hybrid
Kia,Optima,2017,1.9,Electric
Honda,CR-V,2012,3.2,Diesel
BMW,5 Series,2017,2.1,Diesel
Chevrolet,Equinox,2006,2.0,Hybrid
Chevrolet,Equinox,2009,2.8,Electric
Volkswagen,Golf,2014,3.9,Electric
Mercedes,GLA,2021,4.3,Diesel
Toyota,RAV4,2006,1.3,Hybrid
Chevrolet,Impala,2011,4.0,Hybrid
Ford,Focus,2003,3.2,Petrol
Audi,A4,2017,2.7,Electric
Volkswagen,Golf,2017,4.3,Petrol
Hyundai,Sonata,2014,2.3,Electric
Mercedes,GLA,2008,3.2,Electric
BMW,5 Series,2007,3.9,Hybrid
Audi,A3,2014,4.0,Petrol
Hyundai,Sonata,2010,1.6,Petrol
Ford,Focus,2009,2.1,Petrol
Toyota,RAV4,2008,3.5,Electric
BMW,5 Series,2018,2.8,Petrol
Hyundai,Elantra,2000,1.8,Petrol
Ford,Focus,2009,4.1,Petrol
Kia,Optima,2018,1.9,Electric
Volkswagen,Golf,2021,4.0,Diesel
Audi,A3,2017,1.7,Diesel
Toyota,Camry,2007,2.2,Diesel
BMW,5 Series,2009,1.4,Petrol
Ford,Focus,2009,1.2,Hybrid
Toyota,Camry,2017,4.8,Electric
Hyundai,Sonata,2011,4.1,Hybrid
Volkswagen,Tiguan,2006,4.4,Petrol
Toyota,Corolla,2006,2.8,Diesel
BMW,5 Series,2011,3.0,Petrol
Chevrolet,Malibu,2006,2.8,Petrol
Mercedes,GLA,2010,1.9,Hybrid
Ford,Fiesta,2014,3.9,Electric
BMW,X5,2010,4.6,Diesel
Toyota,RAV4,2013,3.5,Electric
Mercedes,E-Class,2001,4.4,Hybrid
Ford,Fiesta,2014,3.2,Petrol
Mercedes,E-Class,2007,3.2,Diesel
Hyundai,Elantra,2022,4.2,Electric
BMW,X5,2002,2.9,Petrol
Kia,Sportage,2014,1.4,Hybrid
Audi,Q5,2023,4.7,Electric
Ford,Focus,2006,4.6,Petrol
Kia,Sportage,2000,3.4,Hybrid
BMW,X5,2001,4.6,Diesel
Chevrolet,Malibu,2008,2.5,Petrol
Honda,CR-V,2009,2.8,Diesel
BMW,3 Series,2021,3.9,Petrol
Audi,A3,2021,4.4,Diesel
Kia,Sportage,2021,1.3,Hybrid
Toyota,RAV4,2006,1.0,Diesel
BMW,5 Series,2011,1.1,Diesel
BMW,5 Series,2009,4.0,Electric
Kia,Optima,2020,4.1,Hybrid
Honda,Accord,2009,2.7,Petrol
Toyota,Camry,2002,2.6,Petrol
Audi,A4,2020,4.3,Diesel
Mercedes,GLA,2023,1.3,Electric
Mercedes,GLA,2010,1.0,Hybrid
Toyota,RAV4,2019,2.0,Petrol
Ford,Explorer,2001,2.3,Electric
BMW,X5,2010,2.9,Diesel
Toyota,Camry,2013,2.2,Hybrid
Ford,Explorer,2008,3.9,Electric
Chevrolet,Equinox,2023,3.0,Hybrid
Chevrolet,Malibu,2008,2.5,Petrol
Mercedes,C-Class,2022,3.1,Petrol
Audi,A3,2006,2.6,Diesel
Mercedes,C-Class,2004,4.0,Diesel
Ford,Fiesta,2004,2.2,Hybrid
Kia,Sportage,2021,2.1,Electric
Volkswagen,Golf,2019,3.9,Petrol
BMW,5 Series,2016,1.7,Petrol
Mercedes,C-Class,2010,4.7,Diesel
Volkswagen,Golf,2006,2.7,Hybrid
Audi,A3,2011,4.8,Petrol
Audi,A4,2021,4.7,Diesel
Audi,Q5,2018,1.7,Electric
Audi,A3,2023,3.2,Petrol
Toyota,Corolla,2000,2.0,Diesel
Ford,Focus,2016,1.4,Petrol
Hyundai,Elantra,2017,4.2,Diesel
Kia,Sportage,2010,2.3,Petrol
Audi,Q5,2023,1.9,Diesel
Toyota,Camry,2014,1.0,Petrol
Honda,Civic,2007,1.6,Electric
Chevrolet,Impala,2021,1.3,Electric
Toyota,Camry,2023,1.5,Diesel
Toyota,Camry,2000,1.8,Electric
Hyundai,Sonata,2010,2.6,Hybrid
Toyota,RAV4,2012,1.7,Petrol
Kia,Optima,2009,1.6,Electric
Volkswagen,Passat,2002,1.8,Petrol
Ford,Focus,2013,2.0,Diesel
Ford,Fiesta,2011,1.4,Hybrid
Audi,Q5,2015,3.7,Diesel
Kia,Sportage,2019,4.0,Diesel
Toyota,RAV4,2001,4.7,Diesel
Honda,Civic,2019,4.2,Petrol
Hyundai,Elantra,2003,4.4,Hybrid
BMW,X5,2020,2.2,Electric
Chevrolet,Malibu,2004,4.9,Diesel
Hyundai,Elantra,2014,3.4,Electric
Kia,Optima,2002,1.7,Diesel
Toyota,Corolla,2005,3.2,Petrol
Volkswagen,Tiguan,2008,4.3,Diesel
Kia,Optima,2010,1.2,Petrol
BMW,X5,2001,4.1,Electric
Mercedes,C-Class,2014,2.9,Petrol
Volkswagen,Passat,2010,4.1,Electric
BMW,5 Series,2016,4.5,Diesel
Honda,Civic,2020,4.4,Petrol
Kia,Sportage,2000,4.2,Hybrid
Mercedes,E-Class,2014,2.5,Electric
Honda,CR-V,2015,4.8,Diesel
Volkswagen,Golf,2010,3.9,Petrol
Mercedes,C-Class,2012,1.5,Electric
BMW,3 Series,2001,4.6,Hybrid
Mercedes,E-Class,2010,3.3,Diesel
Ford,Fiesta,2011,3.5,Diesel
Audi,A3,2017,3.4,Electric
Honda,Accord,2013,1.7,Petrol
Audi,Q5,2002,2.1,Electric
Chevrolet,Malibu,2015,2.9,Diesel
Kia,Rio,2014,4.4,Diesel
Audi,A3,2018,2.5,Diesel
Audi,A3,2014,2.9,Diesel
Mercedes,C-Class,2021,1.9,Petrol
Chevrolet,Malibu,2022,3.0,Diesel
BMW,3 Series,2011,3.3,Hybrid
Kia,Sportage,2001,3.6,Hybrid
BMW,5 Series,2002,4.8,Petrol
Chevrolet,Impala,2011,1.7,Diesel
Volkswagen,Golf,2010,4.5,Electric
Ford,Focus,2008,2.4,Petrol
Mercedes,E-Class,2010,3.0,Electric
Ford,Fiesta,2021,4.3,Hybrid
Audi,A3,2019,2.9,Hybrid
BMW,3 Series,2020,2.1,Diesel
Kia,Sportage,2002,4.4,Petrol
BMW,X5,2010,2.9,Petrol
Chevrolet,Malibu,2001,4.8,Electric
Audi,Q5,2003,3.7,Diesel
Audi,Q5,2022,1.2,Electric
Audi,A3,2012,4.0,Electric
Chevrolet,Equinox,2020,2.9,Petrol
Mercedes,E-Class,2018,3.4,Diesel
Honda,Accord,2000,3.6,Electric
Kia,Sportage,2020,3.0,Hybrid
Chevrolet,Impala,2018,4.0,Petrol
Ford,Explorer,2006,1.5,Hybrid
Volkswagen,Passat,2005,1.4,Diesel
Kia,Optima,2021,1.6,Diesel
BMW,5 Series,2008,4.4,Hybrid
Toyota,Corolla,2016,4.4,Electric
Ford,Explorer,2006,1.6,Hybrid
Mercedes,C-Class,2003,4.4,Hybrid
Honda,CR-V,2007,3.8,Electric
Mercedes,E-Class,2000,1.1,Diesel
Chevrolet,Equinox,2015,1.3,Hybrid
Ford,Fiesta,2005,4.7,Diesel
Chevrolet,Impala,2019,2.5,Hybrid
Ford,Explorer,2011,1.4,Petrol
Volkswagen,Tiguan,2015,1.4,Electric
Volkswagen,Passat,2005,1.6,Electric
Audi,A3,2008,3.5,Diesel
Mercedes,C-Class,2020,1.9,Petrol
Kia,Rio,2022,1.6,Diesel
Toyota,RAV4,2005,2.5,Hybrid
Honda,CR-V,2016,4.4,Petrol
Volkswagen,Tiguan,2002,3.4,Diesel
Kia,Sportage,2019,4.4,Petrol
Chevrolet,Impala,2006,4.4,Diesel
Honda,CR-V,2000,3.6,Petrol
Honda,Civic,2014,1.1,Diesel
Volkswagen,Passat,2007,3.7,Electric
Kia,Sportage,2001,3.1,Hybrid
Mercedes,E-Class,2000,2.5,Diesel
Volkswagen,Passat,2000,1.8,Petrol
Toyota,Corolla,2016,3.7,Petrol
Chevrolet,Equinox,2016,2.3,Petrol
Mercedes,E-Class,2007,2.4,Electric
Hyundai,Tucson,2002,2.6,Petrol
Chevrolet,Impala,2019,4.4,Diesel
Volkswagen,Golf,2016,4.3,Petrol
Mercedes,GLA,2006,3.5,Electric
Chevrolet,Equinox,2003,2.0,Hybrid
Hyundai,Elantra,2018,3.7,Electric
Ford,Explorer,2011,1.4,Hybrid
Mercedes,C-Class,2002,3.6,Hybrid
Hyundai,Elantra,2019,3.3,Electric
Honda,Civic,2019,4.0,Hybrid
Toyota,Corolla,2019,4.2,Electric
Chevrolet,Malibu,2022,4.8,Petrol
Toyota,Camry,2016,1.2,Diesel
Kia,Rio,2004,3.6,Petrol
Audi,A3,2009,1.2,Petrol
Ford,Focus,2015,1.9,Electric
Volkswagen,Tiguan,2006,2.6,Electric
Hyundai,Elantra,2008,2.7,Electric
Kia,Rio,2012,3.6,Petrol
Kia,Sportage,2016,2.1,Electric
Ford,Fiesta,2010,1.1,Hybrid
Mercedes,E-Class,2018,1.6,Hybrid
Chevrolet,Equinox,2001,3.6,Hybrid
Hyundai,Elantra,2006,3.0,Diesel
Hyundai,Sonata,2009,4.4,Hybrid
Volkswagen,Passat,2023,3.0,Hybrid
Kia,Optima,2006,4.6,Hybrid
Kia,Sportage,2002,4.4,Petrol
Chevrolet,Malibu,2003,1.2,Diesel
Ford,Explorer,2019,1.6,Hybrid
Hyundai,Sonata,2002,3.1,Hybrid
Audi,A3,2020,1.7,Hybrid
Hyundai,Tucson,2002,4.4,Petrol
BMW,5 Series,2010,1.1,Petrol
Honda,Accord,2000,2.8,Electric
Toyota,Camry,2004,2.9,Diesel
Volkswagen,Passat,2002,3.1,Diesel
BMW,3 Series,2004,3.0,Electric
Toyota,Corolla,2022,4.6,Diesel
Honda,Accord,2007,1.7,Electric
Ford,Focus,2020,1.3,Hybrid
Volkswagen,Tiguan,2009,1.5,Electric
Ford,Explorer,2005,1.9,Diesel
Chevrolet,Equinox,2004,3.0,Electric
Kia,Sportage,2011,1.7,Hybrid
Honda,Accord,2019,2.1,Petrol
Hyundai,Elantra,2004,3.1,Electric
BMW,3 Series,2012,4.5,Petrol
Kia,Optima,2012,2.7,Electric
Audi,A4,2021,3.6,Diesel
Mercedes,C-Class,2011,4.8,Diesel
Mercedes,GLA,2007,4.8,Petrol
Audi,Q5,2021,3.0,Diesel
Toyota,Camry,2014,4.1,Diesel
Ford,Explorer,2015,4.3,Electric
Ford,Fiesta,2016,3.6,Diesel
Kia,Rio,2016,1.6,Electric
Audi,A3,2005,2.3,Electric
Audi,Q5,2023,3.5,Hybrid
Volkswagen,Golf,2003,2.5,Electric
Kia,Rio,2007,4.7,Electric
Honda,Civic,2001,1.8,Electric
Volkswagen,Golf,2001,2.3,Diesel
Kia,Rio,2013,2.7,Hybrid
Honda,CR-V,2000,3.5,Hybrid
Ford,Focus,2014,3.8,Diesel
Chevrolet,Equinox,2004,2.6,Hybrid
Ford,Focus,2006,4.4,Hybrid
Hyundai,Elantra,2008,4.5,Electric
Kia,Optima,2015,3.4,Electric
Honda,CR-V,2012,4.9,Electric
Ford,Fiesta,2014,4.7,Electric
Hyundai,Elantra,2014,3.7,Petrol
Audi,A4,2007,1.4,Petrol
Ford,Focus,2010,3.9,Hybrid
Audi,A4,2020,4.8,Electric
Mercedes,C-Class,2015,2.7,Diesel
Ford,Explorer,2008,4.1,Electric
Toyota,RAV4,2013,3.8,Hybrid
Volkswagen,Tiguan,2019,4.7,Petrol
Toyota,RAV4,2015,2.0,Diesel
Hyundai,Sonata,2011,2.5,Petrol
BMW,X5,2009,3.8,Electric
Hyundai,Elantra,2019,1.9,Electric
Honda,Accord,2002,2.5,Electric
Ford,Explorer,2003,2.2,Electric
Honda,Accord,2005,2.8,Electric
Volkswagen,Golf,2000,1.0,Hybrid
Mercedes,C-Class,2022,3.6,Diesel
Honda,Accord,2000,2.9,Hybrid
Chevrolet,Malibu,2023,2.0,Diesel
Kia,Rio,2005,2.6,Diesel
Audi,A3,2018,3.3,Hybrid
Chevrolet,Equinox,2015,3.2,Diesel
BMW,X5,2021,5.0,Petrol
Volkswagen,Golf,2023,1.6,Petrol
Hyundai,Tucson,2004,4.2,Hybrid
Mercedes,GLA,2019,2.9,Petrol
Ford,Fiesta,2014,4.7,Petrol
Ford,Explorer,2006,3.1,Electric
Audi,A4,2020,1.3,Hybrid
BMW,5 Series,2020,2.7,Hybrid
Mercedes,GLA,2018,2.0,Hybrid
Ford,Focus,2009,3.0,Diesel
Honda,CR-V,2020,2.4,Hybrid
Chevrolet,Impala,2010,1.8,Hybrid
BMW,X5,2000,1.1,Hybrid
Hyundai,Elantra,2022,2.8,Diesel
BMW,5 Series,2012,1.7,Petrol
Audi,A4,2021,2.7,Petrol
Kia,Rio,2021,3.6,Petrol
Ford,Fiesta,2007,3.4,Electric
Hyundai,Sonata,2009,4.1,Diesel
Hyundai,Sonata,2007,2.3,Electric
Ford,Focus,2010,1.2,Electric
Toyota,Camry,2010,4.7,Petrol
Volkswagen,Tiguan,2006,3.1,Electric
Ford,Fiesta,2009,2.4,Petrol
Audi,A3,2002,3.2,Hybrid
Mercedes,C-Class,2017,2.3,Electric
Ford,Explorer,2007,1.1,Diesel
Honda,CR-V,2015,2.2,Electric
Mercedes,GLA,2018,4.8,Hybrid
Honda,CR-V,2001,4.3,Petrol
Mercedes,C-Class,2013,1.5,Hybrid
Honda,CR-V,2004,1.3,Electric
Audi,A3,2019,3.1,Diesel
Chevrolet,Malibu,2011,4.8,Electric
Kia,Rio,2006,4.9,Electric
Kia,Rio,2002,3.3,Diesel
Hyundai,Tucson,2010,3.6,Diesel
Kia,Optima,2003,1.5,Electric
Ford,Fiesta,2011,5.0,Petrol
BMW,X5,2007,2.0,Electric
Volkswagen,Golf,2012,1.5,Electric
Toyota,RAV4,2016,1.5,Electric
BMW,X5,2007,2.1,Electric
Chevrolet,Impala,2018,3.9,Hybrid
BMW,5 Series,2016,3.1,Petrol
Mercedes,GLA,2005,3.5,Hybrid
Volkswagen,Tiguan,2012,2.8,Diesel
Audi,A4,2009,3.3,Electric
Ford,Focus,2013,3.5,Electric
Ford,Fiesta,2012,3.4,Electric
Toyota,Camry,2014,2.8,Petrol
Hyundai,Elantra,2010,4.5,Hybrid
Mercedes,GLA,2005,3.8,Electric
Hyundai,Tucson,2020,2.7,Petrol
Audi,Q5,2017,3.4,Petrol
Ford,Explorer,2001,1.1,Hybrid
Ford,Explorer,2005,2.1,Electric
Volkswagen,Tiguan,2017,3.3,Electric
Kia,Sportage,2014,1.3,Diesel
Toyota,Corolla,2014,4.7,Petrol
Mercedes,E-Class,2003,1.9,Petrol
Mercedes,C-Class,2007,2.0,Petrol
Kia,Sportage,2017,3.4,Diesel
Audi,A4,2022,1.4,Electric
Chevrolet,Impala,2004,1.8,Diesel
Hyundai,Sonata,2002,2.4,Petrol
Audi,A4,2018,1.6,Diesel
BMW,3 Series,2001,4.7,Diesel
Mercedes,GLA,2003,2.2,Hybrid
Ford,Fiesta,2001,2.6,Electric
Toyota,Corolla,2014,1.2,Electric
Volkswagen,Golf,2022,4.1,Hybrid
Volkswagen,Tiguan,2009,2.1,Diesel
BMW,3 Series,2001,4.2,Electric
BMW,5 Series,2017,2.7,Electric
Toyota,Corolla,2015,4.9,Electric
Mercedes,C-Class,2020,1.2,Petrol
Toyota,Corolla,2018,3.5,Petrol
Ford,Fiesta,2020,2.9,Hybrid
Kia,Sportage,2020,2.7,Diesel
Honda,CR-V,2016,3.2,Diesel
Ford,Focus,2001,4.1,Diesel
Volkswagen,Golf,2010,4.6,Hybrid
Chevrolet,Malibu,2015,4.3,Petrol
Honda,Civic,2007,3.0,Diesel
Kia,Sportage,2015,3.5,Diesel
BMW,5 Series,2023,1.8,Electric
Ford,Explorer,2000,1.8,Hybrid
Volkswagen,Passat,2000,4.8,Electric
BMW,3 Series,2008,4.4,Petrol
Toyota,Corolla,2015,3.0,Electric
Honda,CR-V,2004,3.9,Electric
Honda,Civic,2018,2.2,Hybrid
Toyota,RAV4,2002,1.7,Petrol
Kia,Sportage,2001,3.3,Electric
Honda,Civic,2007,1.6,Electric
Volkswagen,Tiguan,2023,4.6,Diesel
Hyundai,Sonata,2020,3.4,Hybrid
Honda,CR-V,2022,3.0,Diesel
Volkswagen,Golf,2003,4.2,Petrol
Ford,Explorer,2011,1.1,Diesel
Volkswagen,Passat,2006,3.3,Hybrid
Audi,Q5,2019,1.5,Hybrid
Honda,Civic,2000,3.6,Hybrid
Hyundai,Tucson,2017,4.3,Diesel
Kia,Sportage,2003,2.3,Diesel
Volkswagen,Tiguan,2011,4.2,Hybrid
BMW,5 Series,2009,1.8,Electric
Toyota,RAV4,2021,3.3,Diesel
Mercedes,C-Class,2000,4.2,Petrol
Mercedes,E-Class,2015,2.4,Diesel
Toyota,Corolla,2016,3.7,Diesel
Volkswagen,Tiguan,2019,3.9,Electric
Honda,Accord,2020,3.6,Hybrid
BMW,X5,2021,1.7,Petrol
Chevrolet,Impala,2013,2.2,Electric
Hyundai,Elantra,2023,4.3,Petrol
Chevrolet,Malibu,2014,2.2,Electric
Audi,Q5,2014,4.0,Petrol
Volkswagen,Tiguan,2011,4.9,Petrol
Ford,Focus,2017,3.6,Petrol
Volkswagen,Tiguan,2020,2.3,Petrol
Ford,Explorer,2019,3.7,Electric
BMW,3 Series,2019,3.2,Electric
Ford,Explorer,2010,1.6,Petrol
Kia,Optima,2001,4.2,Electric
Toyota,Corolla,2001,4.8,Electric
Kia,Rio,2023,3.4,Petrol
Audi,A4,2011,2.8,Petrol
Kia,Sportage,2017,2.6,Electric
Hyundai,Sonata,2022,3.1,Hybrid
Volkswagen,Golf,2016,2.8,Hybrid
BMW,5 Series,2018,3.9,Electric
Ford,Fiesta,2014,2.8,Electric
Hyundai,Elantra,2001,4.1,Petrol
Hyundai,Elantra,2005,2.7,Hybrid
Ford,Explorer,2003,1.4,Diesel
Mercedes,GLA,2002,4.8,Diesel
BMW,5 Series,2022,1.6,Petrol
BMW,3 Series,2012,4.1,Hybrid
Kia,Rio,2006,1.1,Hybrid
Mercedes,C-Class,2020,2.3,Electric
Hyundai,Elantra,2018,3.0,Hybrid
Honda,CR-V,2000,2.4,Electric
Volkswagen,Passat,2018,3.5,Electric
BMW,X5,2011,3.3,Hybrid
Toyota,Camry,2005,4.4,Petrol
Honda,Accord,2002,1.7,Hybrid
Ford,Explorer,2017,5.0,Electric
Audi,A4,2009,4.5,Petrol
Audi,A4,2000,3.8,Petrol
BMW,5 Series,2005,3.9,Diesel
Mercedes,GLA,2020,1.7,Diesel
Mercedes,GLA,2002,4.6,Electric
Audi,Q5,2010,3.8,Diesel
Chevrolet,Equinox,2017,1.8,Petrol
Honda,Civic,2015,2.3,Electric
Hyundai,Elantra,2012,2.6,Petrol
Chevrolet,Impala,2023,2.1,Petrol
Chevrolet,Equinox,2003,3.3,Hybrid
Chevrolet,Equinox,2012,1.4,Diesel
Ford,Explorer,2003,4.9,Diesel
Mercedes,E-Class,2004,1.2,Diesel
Volkswagen,Passat,2015,4.2,Petrol
Audi,A4,2010,3.4,Hybrid
Chevrolet,Malibu,2002,1.7,Electric
Honda,CR-V,2002,1.8,Electric
Chevrolet,Malibu,2000,2.8,Petrol
BMW,3 Series,2011,2.8,Hybrid
Hyundai,Sonata,2004,4.0,Petrol
Audi,A4,2017,2.6,Petrol
Toyota,Camry,2012,4.1,Hybrid
Audi,A3,2010,4.6,Electric
Toyota,Corolla,2004,2.6,Petrol
Mercedes,GLA,2012,4.7,Electric
Kia,Rio,2021,1.4,Hybrid
BMW,5 Series,2020,4.1,Hybrid
Honda,Civic,2011,4.6,Petrol
Audi,A4,2018,3.3,Hybrid
